AccessID	country	region	lineage	symptom	cluster
G019	PA	PA	4B	symptomatic	PA1
G029	PA	PA	4B	symptomatic	PA1
G035	PA	PA	4B	symptomatic	PA1
G037	PA	PA	4B	symptomatic	PA1
G039	PA	PA	4B	symptomatic	PA1
G041	PA	PA	4B	symptomatic	PA1
G060	PA	PA	4B	symptomatic	PA1
G062	PA	PA	4B	symptomatic	PA1
T001	PA	PA	4B	symptomatic	PA1
T008	PA	PA	4B	symptomatic	PA1
T014	PA	PA	4B	symptomatic	PA1
T016	PA	PA	4B	symptomatic	PA1
T017	PA	PA	4B	symptomatic	PA1
T026	PA	PA	4B	symptomatic	PA1
T044	PA	PA	4B	symptomatic	PA1
T045	PA	PA	4B	symptomatic	PA1
T047	PA	PA	4B	symptomatic	PA1
T048	PA	PA	4B	symptomatic	PA1
U073	PA	PA	4B	asymptomatic	PA1
U086	PA	PA	4B	asymptomatic	PA1
U088	PA	PA	4B	asymptomatic	PA1
W002	PA	PA	4B	asymptomatic	PA1
W084	PA	PA	4B	asymptomatic	PA1
